ds,TimeGPT
2025-03-13,215.91277
2025-03-14,217.14616
2025-03-15,218.37509
2025-03-16,219.55563
2025-03-17,219.12584
2025-03-18,218.47627
2025-03-19,218.65366
2025-03-20,219.03477
2025-03-21,218.63123
2025-03-22,219.27103
2025-03-23,220.5988
2025-03-24,220.64029
2025-03-25,220.26219
2025-03-26,219.68556
2025-03-27,220.99182
2025-03-28,222.6223
2025-03-29,223.5195
2025-03-30,223.69281
2025-03-31,223.75969
2025-04-01,222.6111
2025-04-02,221.17075
2025-04-03,222.62535
2025-04-04,225.47672
2025-04-05,226.6444
2025-04-06,226.78517
2025-04-07,226.06323
2025-04-08,224.31648
2025-04-09,222.20517
2025-04-10,223.25977
2025-04-11,225.67009
