ds,TimeGPT,Symbol
2025-03-13,198.28226,AMZN
2025-03-14,197.90527,AMZN
2025-03-15,197.77765,AMZN
2025-03-16,197.45349,AMZN
2025-03-17,196.53104,AMZN
2025-03-18,196.79918,AMZN
2025-03-19,197.7733,AMZN
2025-03-20,197.67264,AMZN
2025-03-21,197.50056,AMZN
2025-03-22,197.52841,AMZN
2025-03-23,197.32436,AMZN
2025-03-24,196.55176,AMZN
2025-03-25,196.80463,AMZN
2025-03-26,197.61595,AMZN
2025-03-27,197.5067,AMZN
2025-03-28,197.4672,AMZN
2025-03-29,197.59029,AMZN
2025-03-30,197.43326,AMZN
2025-03-31,196.8553,AMZN
2025-04-01,197.2496,AMZN
2025-04-02,198.01367,AMZN
2025-04-03,198.13942,AMZN
2025-04-04,198.06548,AMZN
2025-04-05,197.97989,AMZN
2025-04-06,197.51541,AMZN
2025-04-07,196.49597,AMZN
2025-04-08,196.86333,AMZN
2025-04-09,198.05032,AMZN
2025-04-10,197.9774,AMZN
2025-04-11,197.93071,AMZN
