ds,TimeGPT
2025-03-14,9.568597
2025-03-15,9.577835
2025-03-16,9.5799265
2025-03-17,9.559751
2025-03-18,9.520928
2025-03-19,9.521124
2025-03-20,9.524109
2025-03-21,9.538069
2025-03-22,9.551098
2025-03-23,9.553844
2025-03-24,9.541753
2025-03-25,9.521765
2025-03-26,9.523419
2025-03-27,9.526473
2025-03-28,9.562721
2025-03-29,9.571165
2025-03-30,9.565361
2025-03-31,9.547625
2025-04-01,9.515025
2025-04-02,9.522904
2025-04-03,9.549122
2025-04-04,9.559425
2025-04-05,9.570985
2025-04-06,9.572821
2025-04-07,9.564741
2025-04-08,9.554488
2025-04-09,9.540111
2025-04-10,9.546156
2025-04-11,9.566333
2025-04-12,9.570702
