ds,TimeGPT,Symbol
2025-03-13,228.6044,JPM
2025-03-14,229.4796,JPM
2025-03-15,230.73196,JPM
2025-03-16,231.45296,JPM
2025-03-17,230.22992,JPM
2025-03-18,229.38031,JPM
2025-03-19,229.60681,JPM
2025-03-20,230.04208,JPM
2025-03-21,229.65561,JPM
2025-03-22,230.0097,JPM
2025-03-23,230.58305,JPM
2025-03-24,229.67879,JPM
2025-03-25,228.76047,JPM
2025-03-26,228.93796,JPM
2025-03-27,229.2962,JPM
2025-03-28,229.52625,JPM
2025-03-29,230.29657,JPM
2025-03-30,230.71446,JPM
2025-03-31,229.97719,JPM
2025-04-01,229.3866,JPM
2025-04-02,229.32904,JPM
2025-04-03,229.57063,JPM
2025-04-04,229.92126,JPM
2025-04-05,230.68536,JPM
2025-04-06,231.0601,JPM
2025-04-07,230.17851,JPM
2025-04-08,229.54643,JPM
2025-04-09,229.54031,JPM
2025-04-10,229.61546,JPM
2025-04-11,229.77394,JPM
