ds,TimeGPT
2025-03-18,334.89233
2025-03-19,334.20523
2025-03-20,333.26508
2025-03-21,333.08505
2025-03-22,333.16248
2025-03-23,333.97043
2025-03-24,334.93277
2025-03-25,334.7741
2025-03-26,334.50525
2025-03-27,334.4465
2025-03-28,335.6836
2025-03-29,337.00067
2025-03-30,337.46207
2025-03-31,337.54385
2025-04-01,337.5766
2025-04-02,337.1854
2025-04-03,336.63318
2025-04-04,337.54968
2025-04-05,338.6855
2025-04-06,338.86407
2025-04-07,338.68073
2025-04-08,338.75436
2025-04-09,337.97125
2025-04-10,337.07626
2025-04-11,338.04614
2025-04-12,339.04623
2025-04-13,339.28217
2025-04-14,339.39508
2025-04-15,339.23398
2025-04-16,338.22437
