ds,TimeGPT
2025-03-15,85.54918
2025-03-16,85.78695
2025-03-17,85.9521
2025-03-18,86.03147
2025-03-19,85.6484
2025-03-20,85.4024
2025-03-21,85.60521
2025-03-22,85.75604
2025-03-23,85.71166
2025-03-24,85.610565
2025-03-25,85.52248
2025-03-26,85.316376
2025-03-27,85.154236
2025-03-28,85.300644
2025-03-29,85.480896
2025-03-30,85.52692
2025-03-31,85.61602
2025-04-01,85.54879
2025-04-02,85.40846
2025-04-03,85.37105
2025-04-04,85.381996
2025-04-05,85.67299
2025-04-06,85.79643
2025-04-07,85.85164
2025-04-08,85.75589
2025-04-09,85.52095
2025-04-10,85.34909
2025-04-11,85.52286
2025-04-12,85.7441
2025-04-13,85.78311
