ds,TimeGPT
2025-03-13,47.830982
2025-03-14,47.779522
2025-03-15,47.796124
2025-03-16,47.77528
2025-03-17,47.69808
2025-03-18,47.651287
2025-03-19,47.841755
2025-03-20,47.883774
2025-03-21,47.78602
2025-03-22,47.76251
2025-03-23,47.74627
2025-03-24,47.58734
2025-03-25,47.547096
2025-03-26,47.811943
2025-03-27,47.842674
2025-03-28,47.914196
2025-03-29,47.97632
2025-03-30,47.937965
2025-03-31,47.75702
2025-04-01,47.672306
2025-04-02,47.84939
2025-04-03,47.84587
2025-04-04,47.862366
2025-04-05,47.86155
2025-04-06,47.824646
2025-04-07,47.763664
2025-04-08,47.758896
2025-04-09,47.814846
2025-04-10,47.877483
2025-04-11,47.87778
