ds,TimeGPT
2025-03-18,239.48206
2025-03-19,241.93256
2025-03-20,243.52158
2025-03-21,244.30795
2025-03-22,242.32845
2025-03-23,239.57584
2025-03-24,238.65279
2025-03-25,240.95312
2025-03-26,243.71347
2025-03-27,244.40291
2025-03-28,245.72174
2025-03-29,244.86516
2025-03-30,242.38771
2025-03-31,240.96806
2025-04-01,242.63486
2025-04-02,247.55475
2025-04-03,248.37424
2025-04-04,248.17375
2025-04-05,246.68784
2025-04-06,243.04724
2025-04-07,239.8736
2025-04-08,241.09157
2025-04-09,246.2998
2025-04-10,247.21538
2025-04-11,247.225
2025-04-12,246.45752
2025-04-13,244.29962
2025-04-14,240.27519
2025-04-15,242.27318
2025-04-16,246.76996
